name,romsZip,address,romsDtlAddr,romsRefadNo,romsScl,romsHmpgAddr,romsSumm
호텔 인터시티,34187,대전 유성구 온천로 92,대전광역시 유성구 봉명동 545-5,042-600-6000,240실 한실 : 48 양실 : 156,https://www.hotelinterciti.com/#1,호텔 인터시티
호텔 선샤인,34573,대전광역시 동구 동서대로 1700,대전 동구 가양동 451-3,042-620-6500,55실 양실 55실,http://www.hotelsunshine.kr/,호텔 선샤인
경하온천호텔,34186,대전 유성구 온천로101번길 30,경하온천호텔,042-822-5656,40실 한실 : 29 양실 : 11,http://www.khhotel.com/,경하온천호텔
레전드호텔,34187,대전 유성구 계룡로141번길 21,레전드호텔,042-229-8000,75실 한실 : 24 양실 : 51,http://www.legendhotel.co.kr/kor/index.do,레전드호텔
유성관광호텔,34169,대전 유성구 온천로 9,유성관광호텔,042-820-0100,189실 한실 43 양실 146,https://yousunghotel.com/kor/index.do,유성관광호텔
라온호텔(주),34187,대전 유성구 온천로 88,라온호텔,042-822-0131,45실 한실 : 11 양실 : 34,http://www.laonhotel.com/,라온호텔(주)
대전나무호텔,34168,대전 유성구 온천서로 30-6,대전나무호텔,042-822-3445,49실 한실 : 2 양실 : 47,www.namoohotel.kr,대전나무호텔
레지던스호텔라미아,35233,대전 서구 둔산로51번길 42,레지던스호텔라미아,042-334-0100,106실 한실 : 3 양실 : 103,http://www.hotellamai.com,레지던스호텔라미아
부띠크호텔락희,35233,대전 서구 대덕대로220번길 23,부띠크호텔락희,042-482-0100,54실 양실 : 54,http://www.hotellacky.com,부띠크호텔락희
㈜굿모닝레지던스호텔휴,35233,대전 서구 둔산로73번길 21,㈜굿모닝레지던스호텔휴,042-489-4000,134실 양실 : 134,http://www.hotelrest.co.kr,㈜굿모닝레지던스호텔휴
호텔그레이톤둔산,35240,대전 서구 둔산중로 70,호텔그레이톤둔산,042-483-3100,211실 한실 : 7 양실 : 204,http://graytone.co.kr,호텔그레이톤둔산
베니키아호텔대림,34839,대전 중구 대종로505번길 50,대전 중구 선화동 230-6,042-251-9500,44실[ 양실:44],http://www.daelimhotel.com,베니키아호텔대림
롯데시티호텔,34125,대전 유성구 엑스포로123번길 33,대전 유성구 도룡동 4-30,042-333-1000,"304실[ 한실:304 , 양실:]",http://www.lottecityhoteldaejeon.com/,롯데시티호텔
호텔 ICC,34125,대전 유성구 엑스포로123번길 55,대전 유성구 도룡동 4-29,042-866-5000,90실[ 양실:90],http://hotel.hotelicc.com/,호텔 ICC
테크노벨리호텔,34014,대전 유성구 테크노중앙로 57,대전 유성구 관평동 796,042-671-0500,74실[ 양실:74],http://www.hoteltechnovalley.com,테크노벨리호텔
디엠프레스호텔,35222,대전 서구 한밭대로570번길 29-20,대전 서구 월평동 516,042-485-3030,66실[ 양실:66],http://www.theempresshotel.co.kr,디엠프레스호텔
플라밍고호텔,34549,대전 동구 동서대로1683번길 76-7,대전 동구 용전동 64-36,042-639-5144,33실[ 양실:33],http://대전호텔플라밍고.urr.kr/,플라밍고호텔
나봄 S&호텔,34014,대전 유성구 테크노중앙로 69,대전 유성구 관평동 781,042-936-1500,"75실[ 한실:75 , 양실:]",http://www.sandhotel.co.kr/,구)(주)에스엔호텔
계룡스파텔,34186,대전 유성구 온천로 81,대전 유성구 봉명동 539-1,042-602-1111,계룡스파텔의 객실 수에 대한 정확한 정보는 공식 웹사이트나 예약 사이트에서 확인할 수 없었습니다.,http://www.jaekyungdan.mil.kr/sub/bokjiinfo/sisulinfo/spatel/default/default.jsp,계룡스파텔
호텔스카이파크 대전1호점,34030,대전 유성구 테크노중앙로 161,대전 유성구 용산동 579,042-323-4500,"100실[ 한실:100 , 양실:]",http://www.skyparkhotel.com,호텔스카이파크 대전1호점
호텔 스탕달,34186,대전 유성구 온천북로 14,대전 유성구 봉명동 537-2,042-822-1435,70실[ 양실:70],http://stendhalhotel.co.kr/,호텔 스탕달
토요코인 대전정부청사앞,35209,대전 서구 둔산중로134번길 13,대전 서구 둔산동 922,042-545-1045,300실[ 양실:300],https://www.toyoko-inn.com/korea/,토요코인 대전정부청사앞
호텔3월,35241,대전 서구 둔산중로32번길 29,대전 서구 둔산동 1435,042-825-8000,49실[ 양실:49],http://hotel-march.com/,호텔3월
하늘정원 게스트하우스,34918,대전 중구 보문로230번길 40,대전 중구 대흥동 447-11,010-6399-7974,8실[ 양실:8],https://m.cafe.naver.com/moon7942.cafe,하늘정원 게스트하우스
휴안당(외국인도시민박업),34378,대전 대덕구 한밭대로1003번길 42,대전 대덕구 오정동 658-20,010-5629-7816,2실[ 양실:2],대전 휴안당(외국인도시민박업)의 홈페이지는 별도로 찾을 수 없습니다.,휴안당(외국인도시민박업)
아인게스트하우스,34199,대전 유성구 상대동로36번길 7-1,대전 유성구 상대동 471-6,0508-5044-2772,"5실[ 한실: , 양실:]",http://guesthouseayinn.modoo.at/,아인게스트하우스
호텔루키,34928,대전 중구 대흥로158번길 25,대전 중구 대흥동 31-7,042-221-8383,35실[ 양실:35],호텔루키의 홈페이지는 별도로 찾을 수 없습니다.,호텔루키
베르겐호텔,34185,대전 유성구 온천북로 65-9,대전 유성구 봉명동 690-6,042-824-9277,48실[ 양실:48],베르겐호텔의 홈페이지는 별도로 찾을 수 없습니다.,베르겐호텔
퀸스타운모텔,34186,대전 유성구 계룡로105번길 74,대전 유성구 봉명동 537-9,042-822-8696,33실[ 양실:33],퀸스타운모텔의 홈페이지는 별도로 찾을 수 없습니다.,퀸스타운모텔
유성스테이호텔,34169,대전 유성구 계룡로59번길 23,대전 유성구 봉명동 469-42,042-824-1333,"49실[ 한실:2 , 양실:47]",유성스테이호텔의 홈페이지는 별도로 찾을 수 없습니다.,유성스테이호텔
오백호모텔,34168,대전 유성구 대학로 55-10,대전 유성구 봉명동 604-3,042-824-0995,"36실[ 한실:6 , 양실:30]",오백호모텔의 홈페이지는 별도로 찾을 수 없습니다.,오백호모텔
시네마이텔,34187,대전 유성구 대학로 8,대전 유성구 봉명동 551-14,042-824-6868,"&nbsp;44실[ 한실:1 , 양실:43]",시네마이텔의 홈페이지는 별도로 찾을 수 없습니다.,시네마이텔
투엑스,34185,대전 유성구 문화원로 116,대전 유성구 봉명동 641-7,042-825-5701,"40실[ 한실:1 , 양실:39]",투엑스의 홈페이지는 별도로 찾을 수 없습니다.,투엑스
드라마모텔,34168,대전 유성구 온천서로 2,대전 유성구 봉명동 446-8,042-824-3399,"55실[ 한실:1 , 양실:54]",드라마모텔의 홈페이지는 별도로 찾을 수 없습니다.,드라마모텔
렉시호텔,34186,대전 유성구 온천로107번길 37,대전 유성구 봉명동 540-5,042-824-7738,35실[ 양실:35],렉시호텔의 홈페이지는 별도로 찾을 수 없습니다.,렉시호텔
시나브로모텔,34185,대전 유성구 온천북로59번길 9,대전 유성구 봉명동 658-3,042-823-5832,"42실[ 한실:4 , 양실:38]",http://cafe.daum.net/sinabromotel,시나브로모텔
파라곤모텔,34168,대전 유성구 계룡로87번길 72,대전 유성구 봉명동 535-2,042-825-4646,"40실[ 한실:5 , 양실:35]",www.iparagon.kr,파라곤모텔
시애틀모텔,34186,대전 유성구 온천북로 24,대전 유성구 봉명동 538-3,042-824-3070,"37실[ 한실:5 , 양실:32]",시애틀모텔의 홈페이지는 별도로 찾을 수 없습니다.,시애틀모텔
더貧晁?,34185,대전 유성구 온천북로 53,대전 유성구 봉명동 658-4,042-822-0450,42실[ 양실:42],더貧晁愍?홈페이지는 별도로 찾을 수 없습니다.,더貧晁?
맨하탄모텔,34185,대전 유성구 온천북로33번길 7-14,대전 유성구 봉명동 633-3,042-824-3311,"36실[ 한실:6 , 양실:30]",맨하탄모텔의 홈페이지는 별도로 찾을 수 없습니다.,맨하탄모텔
블랙호텔,35300,대전 서구 용문로 65,대전 서구 용문동 592-16,042-535-0070,31실[ 양실:31],블랙호텔의 홈페이지는 별도로 찾을 수 없습니다.,블랙호텔
잉카의태양,34185,대전 유성구 온천북로 69,대전 유성구 봉명동 692-7,042-826-6700,44실[ 양실:44],http://www.mokamotel.kr,잉카의태양
호스텔 하루,34185,대전 유성구 온천동로65번길 42,대전 유성구 봉명동 683-1,042-823-9433,"39실[ 한실:4 , 양실:35]",https://hostelharu.com/,호스텔 하루
피카소 모텔,34169,대전 유성구 장대로 16-20,대전 유성구 봉명동 469-41,042-825-3288,"32실[ 한실:3 , 양실:29]",피카소 모텔의 홈페이지는 별도로 찾을 수 없습니다.,피카소 모텔
뉴 큐피트 모텔,34169,대전 유성구 장대로 16-18,대전 유성구 봉명동 469-2,042-825-8505,"32실[ 한실:1 , 양실:31]",www.뉴큐피트모텔.kr,뉴 큐피트 모텔
헤라모텔,34186,대전 유성구 온천로107번길 23,대전 유성구 봉명동 540-7,042-823-5775,"36실[ 한실:2 , 양실:34]",www.ihera.kr,헤라모텔
발렌타인 모텔,34170,대전 유성구 장대로 20-19,대전 유성구 장대동 285-11,042-825-2100,"36실[ 한실:8 , 양실:28]",발렌타인 모텔의 홈페이지는 별도로 찾을 수 없습니다.,발렌타인 모텔
스파타워 모텔,34186,대전 유성구 온천로107번길 40,대전 유성구 봉명동 694-1,042-824-0637,"35실[ 한실:3 , 양실:32]",www.spatower.kr,스파타워 모텔
오딧세이 모텔,34187,대전 유성구 계룡로155번길 27,대전 유성구 봉명동 544-5,042-822-7278,"35실[ 한실:2 , 양실:33]",htttp://www.odmotel.com,오딧세이 모텔
워커힐모텔,35222,대전 서구 월평로 47,대전 서구 월평동 507,042-489-7720,"50실[ 한실:10 , 양실:40]",워커힐모텔의 홈페이지는 별도로 찾을 수 없습니다.,워커힐모텔
투에스(2S)모텔,35222,대전 서구 월평로 53-9,대전 서구 월평동 512-1,042-486-3333,43실[ 양실:43],투에스(2S)모텔의 홈페이지는 별도로 찾을 수 없습니다.,투에스(2S)모텔
호텔어썸,35300,대전 서구 도산로369번길 29,대전 서구 용문동 592-1,042-524-0770,34실[ 양실:34],호텔어썸의 홈페이지는 별도로 찾을 수 없습니다.,호텔어썸
