name,tourspotZip,address,tourspotDtlAddr,refadNo,mngTime,tourUtlzAmt,pkgFclt,cnvenFcltGuid,urlAddr,tourspotSumm,mapLat,mapLot
유성온천,34186,대전 유성구 봉명동 574,대전 유성구 온천로 89 ,042-611-2114,05:30 ~ 22:00,이용요금:홈페이지 참조,,종합관광안내소(042-861-1330),https://www.yuseong.go.kr/tour/,몸으로 마시는 보약,36.3537281,127.3449775
으능정이문화의거리,34922,대전 중구 은행동 45-10,,042-252-7100,,,우리들공원 주차장 (355면),,http://www.skyroad.or.kr/,청춘과 문화의 놀이터,36.329327,127.42839
대전문화예술단지,35204,대전 서구 둔산대로 135,대전 서구 만년동 396 ,042-270-8333,대전시립미술관 - 매일 10:00 - 18:00 11월-2월<br>(매월 마지막 수요일 20:00까지),,"한밭수목원 : 465면(무료), 예술의전당 : 268면(무료), 시립미술관:18면(무료)",,,사계절 바탕색이 바뀌다,36.366615,127.38376
동춘당,34402,대전 대덕구 동춘당로 80,대전 대덕구 송촌동 192,042-608-6574,09:00 ~ 18:00,,동춘당공원 주자창 무료 이용 가능 : 30면,,https://www.daedeok.go.kr/ect/goContents.do?link=/ect/ect02/ECT020301&menuId=ECT020101,자연스럽지 아니한家,36.3601613,127.4473792
대전둘레산길,35053,대전 중구 문화동 산 18-1,,042-270-5583,09:00 ~ 24:00,,,,https://www.daejeon.go.kr/tou/TouContentsHtmlView.do?menuSeq=4912,"133km, 300리를 두르는 길",36.299423,127.41981
대청호반,34500,대전 동구 추동 333,,042-930-7240,00:00 ~ 24:00,,,,https://www.daedeok.go.kr/ect/goContents.do?link=/ect/ect02/ECT020303&menuId=ECT020303,걸으며 사색하는 그림 속 호수,36.37176,127.475624
엑스포과학공원,34126,대전 유성구 엑스포로 85,,042-250-1111,10:00 ~ 18:00,,경차:1000원/소형:2000원/대형:3000원,,http://www.expopark.co.kr/,과학을 주제로 한 테마공원,36.37443,127.38898
뿌리공원,35085,대전 중구 뿌리공원로 79,대전 중구 침산동 364 ,042-288-8310,"3월~10월 : 06:00~22:00, 11월~2월 : 07:00~21:00 / 연중무휴 ",무료,있음 (무료),한국 족보박물관 / 유모차 3대/휠체어 6대 보유 (2020-02 기준),https://www.djjunggu.go.kr/hyo/index.do,전국 유일의 ‘효’ 테마공원,36.28538,127.3883
오-월드,35073,대전 중구 사정공원로 70,대전 중구 사정동 142 ,042-580-4820,09:30 ~ 18:00,이용요금:홈페이지 참조,"있음 (총 1,913대 주차가능)","유모차 15대, 휠체어 3대 (대여료 3,000원)<br />(2020-02 기준 변경가능)",https://www.oworld.kr/newkfsweb/kfs/dcco/dccoMainindex.do,중부 이남의 최대규모인 종합 테마파크,36.2893083,127.3980664
계족산 황톳길,34345,대전 대덕구 장동 453-1,대전 대덕구 산디로 82 ,042-623-9909,,,25대,화장실/ 운동기구/ 물놀이장/ 음수대,http://www.daedeok.go.kr/ect/goContents.do?link=/ect/ect02/ECT020203&menuId=ECT020203 ,맨발의 힐링캠프 계족산 황톳길,36.4047518,127.4426929
