name,shppgZip,address,shppgDtlAddr,shppgInqrTel,pkgFclt,shppgHmpgUrl,salsTime,shppgIntrd,mapLat,mapLot,tag
오정동농수산물도매시장,34377,대전 대덕구 한밭대로 987,오정동농수산물도매시장,042-622-3387,주차요금없음,http://www.daejeon.go.kr/ohj/index.do,07:00 ~ 20:30,"오정동에 위치하고 있는 공영도매시장이다. 농산물과 수산물을 주로 판매하며 모든 시설들이 지상에 위치해 있다. 대전에 있는 도매시장 중 가장 오래된 시장으로 그 명성을 자랑하는 듯하다. 2001 전국농수산물도매시장 평가 최우수도매시장 선정되었다. 중부권 교통의 요충지로서 분산 및 반송이 유리하고 충분한 주차공간 확보로 편리하게 이용이 가능하며 시내 중심권에 위치하여 도매상, 소매상으로의 공급이 원활하다는 장점이 있다. 경매사가 30명 정도가 있어 경매 후에 거래내역의 신속한 전산처리와 정보가 제공된다. 수지 대신 무선응찰기를 사용하여 응찰에서부터 낙찰까지의 전 과정을 전자화한 전자경매도 제공한다. 다양하고 신선한 농수산물과 저렴한 가격에 이곳에는 많은 고객이 찾아온다. 매주 일요일과 1월 1일, 추석 3일, 설날 3일에는 휴장이고, 오전 2시에 개장하여 오후 6시에 폐장하니 늦은 저녁시간에는 장을 보기 힘들다. 옛날시장의 정겨움과 사람들의 바쁜 사람들의 활기찬 기운을 느끼고 싶다면 이곳을 방문하는 것도 좋을 것이다.",36.357822,127.406456,indoor
갤러리아 타임월드점,shppgZip,대전 서구 대덕대로 211,갤러리아 타임월드점,042-480-5000,"10분당 1,000원입니다. 백화점 이용 시 구매 금액에 따라 무료 주차 시간이 제공",http://dept.galleria.co.kr,10:30 ~ 20:00,"대전광역시 서구 둔산2동에 위치한 갤러리아 타임월드 백화점이다. 연중무휴이며 10:30부터 20:00까지 영업한다. 매주 금요일부터 일요일에는 30분씩 연장영업을 한다. 이곳의 타임월드갤러리는 지역작가 뿐 아니라 지역민 누구에게나 열린공간으로 70여평의 넓은 전시공간과 쾌적함이 장점이며 요금을 내면 대관할 수 있다. 또한 문화센터를 운영하여 성별, 연령에 제한이 없는 평생 교육문화공간을 제공하고 있다. 요리나 뮤직스쿨, 댄스나 미술 등 다양한 강좌가 있고 아이들을 위한 엄마와 함께하는 강좌도 마련되어 있는 등 다양한 강좌가 열리고 있다. 또 11층의 스포츠센터에서는 수영, 헬스, 스쿼시, 에어로빅, 요가, 필라테스, 아쿠아로빅, 째저사이즈 등 다양한 스포츠를 수강할 수 있어 매우 유용하다.",36.351955,127.37817,indoor
코스트코,34906,대전 중구 오류로 41,코스트코,1899-9900,주차요금없음,http://www.costco.co.kr,10:00 ~ 22:00,"대전 코스트코는 일반 코스코트와 마찬가지로 회원제 창고형 할인매장으로 회원들에게 고품격 브랜드 상품을 가장 좋은 가격으로 제공하기 위해 만들어진 매장이다. 한국에는 1994년에 서울 양평동에 프라이스클럽이라는 이름으로 첫 개점하여 전국에 7개점을 운영하고 있으며, 이중 하나가 대전 코스트코이다. 1983년, 시애틀에 코스트코의 첫 번째 매장이 개점했고, 이것이 원래는 미국 샌디에고 모레나 대로에 개조한 비행기 격납고였다고 한다. 대전 중구 오류동에 위치해 있으며 오전10시 영업을 시작으로 오후 10시까지만 영업을 하고, 설날 추석을 제외한 거의 모든날을 영업하고 있다.",36.324005,127.40348,indoor
세이백화점,34956,대전 중구 계백로 1700,세이백화점,042-226-1234,970대 무료,http://www.saydept.com,10:30 ~ 20:30,"새로운 문화공간의 제공과 다양한 고객의 의견존중을 목표로 감도 높은 신 생활문화 백화점이라 할수있다. 대전 서남부 생활권의 중심지로서 편하게 이용할 수 있는 교통시설과 주차공간이 마련되어있다. 대전광역시 중구 문화동 1-16번지에 위치하고, 총면적 100,141제곱미터에 직원들만 1.477명이나 된다. 주차장도 넓어서 옥내에 1천대를 수용할 수 있고 옥외에 2백여대를 주차시킬 수 있다. 1996년 오픈하여 현재 법인명의는 2003년에 현재의 이름으로 변경되었다. 지하2층에 여성전용주차장이 있고, 6층엔 문화센터와 식당가가, 7층과 8층에 스포츠센터, CGV영화관등이 있다.",36.32063,127.4088,indoor
중리시장,34389,대전 대덕구 중리북로37번길 26,중리시장,042-623-1040,70대-15분 300원 이후 200원,중리시장 홈페이지는 현재 별도로 운영되고 있지 않습니다.,09:00 ~ 22:00,"대전대덕의 뿌리가 되는 회덕이 회덕1&middot;2동으로 분동되었다가 APT단지가 들어서면서 회덕2동에서 분동된 중리동은 일반 주거지역과 APT단지 등이 혼성된 지역특성을 가지고 있다. 1988년 이 지역의 생필품이나 과일, 야채 생선 판매등 주부들의 장바구니 시장으로 시작한 중리시장은 현재 150여개 점포에 1일 2,500여명의 고객이 이용하고 있다. 다양한 생필품을 판매하고 있는 장점과 2004년 11월 18일부터 서울 서초구 AT센터에서 열린 재래시장 박람회 출품인기 업소「불티나 찐빵, 만두」등과 시장 상징물 홍보를 위해 2004년 CI 도입, 시장 내 방송 시설 설치와 2005-2006년에는 공영주차장 조성과 아케이드 설치 등으로 쇼핑 환경을 개선하였다. 경영현대화를 위한 각종 친절교육 및 상인 마인드 개선 등에도 상인회가 적극적으로 나서고 있어 중리시장은 주부들의 발길이 끊이지 않는 &ldquo;좋은 재래시장&rdquo;이라 하겠다.",36.36534,127.4258,indoor
한민재래시장,35294,대전 서구 도솔로308번길 27,한민재래시장,042-552-9094,160대-2시간 무료,http://www.hanmin-market.co.kr/,08:00 ~ 23:00,"한민 재래시장은 1981년 3월 개장하여 30년이 경과하는 동안 연간 수만톤의 농수산물, 축산물 및 각종 공산품을 거래하는 시장으로 전국의 생산자에게는 안정된 판매처를 제공하고 소비자에게는 신선한 농수산물 및 공산품을 적정한 가격에 공급하는 등 공산품 및 농수산물품의 원활한 수급을 제공하고 있는 시장이다. 특히 산지 안전성 검사제를 도입하여 시민들이 안심하고 먹거리를 구매할 수 있게 되었다. 영업시간은 오전 7시부터 오후 10시까지이다. 103번 버스로 한민시장앞 하차 또는 211, 316번 등으로 래미안아파트2단지에서 하차하여 1단지와 2단지 사이로 도보로 5분정도면 찾을 수 있다.",36.33462,127.384,indoor
송강재래시장,34009,대전 유성구 구즉로 74-7,송강재래시장,042-934-6863,170대-1시간 무료,송강재래시장(송강전통시장) 홈페이지는 현재 별도로 운영되고 있지 않습니다.,08:30 ~ 21:30,"유성구 송강동 1997년 개설된 상가건물형의 소형시장이다. 이곳은 유성시장 보다는 규모는 작지만 여전히 사람 사는 냄새가 물씬 난다. 입구에는 떡볶이 장사 아줌마를 만날 수 있는데, 그 인심이 하도 좋아 손님이 줄을 서서 먹을 정도다. '그렇게 많이 주어도 남느냐'고 물으면 미소로 답한다. 그리고 시장 내부에 들어서면 정육점, 생선가게, 각종 채소류 등 없는 게 없다. 그런데 요즘은 경기가 좋지 않아 대부분 상인들이 어려움을 호소하지만 손님을 대하는 얼굴 표정만은 밝다. '어렵다' '어렵다'하면서도 이곳 송강재래시장에 손님들의 발길이 끊이지 않는 이유가 이것에 있다고 하겠다.",36.4352,127.386604,outdoor
용두시장,34870,대전 중구 계룡로881번길 53,용두시장,042-257-7223,40대-무료,용두시장 홈페이지는 현재 별도로 운영되고 있지 않습니다.,09:00 ~ 22:00,"중구 용두동 12-2번지에 위치하고 있는 소형시장이다. 1970년도 개장하였고, 오전 9시부터 오후 10시까지 이용이 가능하며, 휴무가 없어서 지역주민들의 편리한 장터로 이용되고 있다. 서대전네거리역 5, 6번 출구로 나오면 용두시장과 가깝다. 옛 정취를 그대로 느낄 수 있는 재래시장으로 채소나 과일, 생선, 반찬 등을 저렴하게 구입이 가능하고, 각종 식당과 간식거리를 파는 가게도 정겨운 모습이다. 손칼국수가 매우 맛있는 분식집과 사계절 내내 정통 구룡포의 과메기 맛을 볼 수 있는 과메기전문 맛집도 이 용두시장 내에 위치하고 있다. 인근 주민들의 장터이자 구경 장소로도 이용되고 있는 곳이다.",36.323406,127.414566,indoor
자유도매시장,34628,대전 동구 중앙로200번길 34,자유도매시장,042-226-0319,50대-무료,자유도매시장 홈페이지는 현재 별도로 운영되고 있지 않습니다.,09:00 ~ 20:00,"동구 원동 64에 위치하고 있는 자유도매시장은 낙후된 시장을 활성화하기 위하여 노력하고 있다. 누적된 적자를 흑자로 전환하고자 190여개의 점포와 시설의 현대화를 위해 시설의 보수를 실시하였고, 시장의 2층을 그릇 도매점으로 육성하였다. 그결과 이곳 자유도매시장은 대전지역의 그릇의 메카로 거듭나게 되었고, 넉넉한 주차 공간의 확보로 시장 이용객들의 편익을 도모하고 있는 시장이다. 대전역에서 나와 왼쪽 육교를 건너 원동사거리 방향으로 한일은행 중 교통 길로 들어서면 사거리가 나온다. 이곳에서 우측 중소기업은행 통로로 들어오면 이곳 자유도매시장을 발견할 수 있다.",36.329273,127.43209,indoor
역전지하상가,34628,대전 동구 대전로797번길 41,역전지하상가,042-221-3628," 2시간까지는 최초 10분당 450원이고, 이후 10분 초과시마다 300원이 추가됩니다. 2시간 초과 시에는 600원이 부과",https://www.djsiseol.or.kr/portal/sub030301_02.asp?utm_source=chatgpt.com,10:00 ~ 21:00,"동구 중동에 있는 이곳 역전지하상가는 대전역과 연결되어 있어 이용하기에 매우 편리하다. 대전역에서부터 목척교 까지 이어진 지하상가이다. 이곳은 패션 의류 뿐만 아니라 화장품, 신발 등의 잡화, 귀금속, 악세사리, 전자제품, 악기, 서적, 문구에 이르기까지 매우 다양한 물품을 취급하는 상점이 들어서 있어서 사람들의 이용이 많은 곳이다. 또 홈페이지를 운영하고 있는데, 홈페이지에서는 각 점포의 취급품목과 위치를 파악하기 쉽게 정리해 두어 더욱 편리하다. 복합 쇼핑 공간으로 고객의 만족을 위하여 역전지하상가 상인회에서 관리하고 있다. 첫째, 셋째주 목요일은 휴무이니 잘 알아두도록 하자.",36.329834,127.430855,indoor
